,LOCAL_DATE,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,NORM_MEAN_TEMP,TOTAL_PRECIPITATION,NORM_TOTAL_PRECIPITATION,FROST_TEMP,MIN_TEMP,MAX_TEMP,MEAN_HUMIDITY,NORM_MEAN_HUMIDITY
55,2018-2-25,2,25,-5.2,4.666023166023167,0.0,0.5,True,-11.1,0.7,95.0,1.0
56,2018-2-26,2,26,-8.3,4.127413127413128,0.9,0.517175572519084,True,-16.0,-0.6,78.5,0.736
57,2018-2-27,2,27,-4.8,4.735521235521237,0.0,0.5,True,-10.5,0.9,62.0,0.472
58,2018-2-28,2,28,-5.0,4.700772200772201,0.0,0.5,True,-11.4,1.5,77.0,0.712
59,2018-3-1,3,1,-10.5,3.7451737451737457,1.1,0.5209923664122137,True,-14.8,-6.1,63.5,0.496
60,2018-3-2,3,2,-9.2,3.9710424710424714,8.6,0.6641221374045801,True,-10.8,-7.5,57.5,0.4
61,2018-3-3,3,3,-11.9,3.5019305019305023,1.2,0.5229007633587787,True,-13.8,-10.0,45.5,0.208
62,2018-3-4,3,4,-16.2,2.754826254826255,0.3,0.5057251908396947,True,-22.1,-10.3,59.5,0.432
63,2018-3-5,3,5,-16.4,2.7200772200772207,0.2,0.5038167938931297,True,-25.2,-7.6,61.0,0.456
64,2018-3-6,3,6,-15.1,2.9459459459459465,0.0,0.5,True,-23.3,-6.8,55.0,0.36
65,2018-3-7,3,7,-13.2,3.276061776061777,0.7,0.5133587786259542,True,-20.3,-6.1,48.0,0.248
66,2018-3-8,3,8,-13.4,3.2413127413127425,0.0,0.5,True,-18.5,-8.3,58.0,0.408
67,2018-3-9,3,9,-2.4,5.152509652509653,0.2,0.5038167938931297,True,-10.6,5.8,70.5,0.608
68,2018-3-10,3,10,-4.5,4.787644787644788,0.8,0.5152671755725191,True,-12.9,3.9,50.0,0.28
69,2018-3-11,3,11,-4.9,4.718146718146719,0.8,0.5152671755725191,True,-13.4,3.6,40.5,0.128
70,2018-3-12,3,12,-3.5,4.961389961389962,0.0,0.5,True,-13.4,6.4,39.5,0.112
71,2018-3-13,3,13,-1.8,5.256756756756757,1.3333333333333333,0.5254452926208651,True,-10.9,7.4,45.5,0.208
72,2018-3-14,3,14,-4.3,4.822393822393823,2.6666666666666665,0.5508905852417303,True,-11.0,2.5,51.0,0.296
73,2018-3-15,3,15,-5.3,4.648648648648649,4.0,0.5763358778625954,True,-8.1,-2.4,84.5,0.832
74,2018-3-16,3,16,-3.9,4.891891891891893,0.5,0.5095419847328244,True,-11.5,3.7,71.0,0.616
75,2018-3-17,3,17,-1.6,5.2915057915057915,0.6,0.5114503816793893,True,-3.9,0.7,53.5,0.336
76,2018-3-18,3,18,-2.5,5.135135135135136,3.3,0.5629770992366412,True,-4.6,-0.4,53.5,0.336
77,2018-3-19,3,19,-1.1,5.378378378378379,0.2,0.5038167938931297,True,-7.6,5.4,50.5,0.288
78,2018-3-20,3,20,-0.7,5.447876447876448,0.0,0.5,True,-7.2,5.9,46.5,0.224
79,2018-3-21,3,21,-1.2,5.361003861003862,0.0,0.5,True,-5.3,3.0,36.5,0.064
80,2018-3-22,3,22,-4.8,4.735521235521237,2.2,0.5419847328244275,True,-7.8,-1.8,46.5,0.224
81,2018-3-23,3,23,-2.0,5.222007722007723,0.4,0.5076335877862596,True,-9.6,5.6,66.5,0.544
82,2018-3-24,3,24,-1.8,5.256756756756757,0.0,0.5,True,-5.8,2.3,61.5,0.464
83,2018-3-25,3,25,-3.0,5.0482625482625485,0.0,0.5,True,-10.1,4.2,42.5,0.16
84,2018-3-26,3,26,-0.1,5.552123552123553,0.0,0.5,True,-5.7,5.5,32.5,0.0
85,2018-3-27,3,27,3.3,6.142857142857143,0.0,0.5,False,-1.7,8.3,42.5,0.16
86,2018-3-28,3,28,-0.6,5.4652509652509655,1.0,0.5190839694656488,True,-3.9,2.7,48.5,0.256
87,2018-3-29,3,29,-5.6,4.596525096525097,0.0,0.5,True,-8.6,-2.6,34.0,0.024
88,2018-3-30,3,30,-10.5,3.7451737451737457,0.7,0.5133587786259542,True,-13.0,-8.0,57.75,0.404
89,2018-3-31,3,31,-15.0,2.963320463320464,0.9,0.517175572519084,True,-20.0,-9.9,81.5,0.784
90,2018-4-1,4,1,-11.6,3.5540540540540544,0.0,0.5,True,-16.1,-7.1,63.0,0.488
91,2018-4-2,4,2,-9.3,3.9536679536679538,0.0,0.5,True,-12.6,-5.9,60.0,0.44
92,2018-4-3,4,3,-10.7,3.710424710424711,0.0,0.5,True,-15.9,-5.4,67.5,0.56
93,2018-4-4,4,4,-6.5,4.440154440154441,0.0,0.5,True,-12.8,-0.2,65.5,0.528
94,2018-4-5,4,5,-10.5,3.7451737451737457,0.0,0.5,True,-13.6,-7.4,65.5,0.528
95,2018-4-6,4,6,-13.3,3.2586872586872593,0.0,0.5,True,-16.0,-10.5,71.5,0.624
96,2018-4-7,4,7,-12.1,3.467181467181468,2.7,0.5515267175572519,True,-15.0,-9.1,86.0,0.856
97,2018-4-8,4,8,-7.2,4.318532818532819,3.2,0.5610687022900763,True,-9.4,-5.0,83.0,0.808
98,2018-4-9,4,9,-0.9,5.413127413127413,0.0,0.5,True,-6.9,5.1,65.0,0.52
99,2018-4-10,4,10,2.1,5.934362934362935,0.0,0.5,False,-4.3,8.4,72.0,0.632
100,2018-4-11,4,11,0.5,5.656370656370657,0.0,0.5,False,-6.3,7.3,71.5,0.624
101,2018-4-12,4,12,-2.9,5.065637065637066,2.1,0.5400763358778626,True,-3.9,-1.9,55.0,0.36
102,2018-4-13,4,13,2.0,5.916988416988417,0.9,0.517175572519084,False,-3.7,7.6,42.5,0.16
103,2018-4-14,4,14,3.0,6.090733590733592,0.0,0.5,False,-4.4,10.4,48.0,0.248
104,2018-4-15,4,15,2.9,6.073359073359074,0.0,0.5,False,-2.5,8.3,43.0,0.168
105,2018-4-16,4,16,-0.2,5.534749034749035,7.0,0.633587786259542,True,-1.6,1.2,50.5,0.288
106,2018-4-17,4,17,-0.8,5.430501930501931,0.2,0.5038167938931297,True,-5.2,3.6,58.0,0.408
107,2018-4-18,4,18,1.9,5.8996138996139,0.0,0.5,False,-4.7,8.4,63.5,0.496
108,2018-4-19,4,19,2.1,5.934362934362935,0.0,0.5,False,-5.6,9.8,76.5,0.704
109,2018-4-20,4,20,5.7,6.559845559845561,0.0,0.5,False,-1.1,12.5,84.0,0.824
110,2018-4-21,4,21,8.1,6.976833976833976,0.0,0.5,False,1.4,14.8,82.5,0.8
111,2018-4-22,4,22,5.6,6.5424710424710435,0.0,0.5,False,-0.4,11.5,67.0,0.552
112,2018-4-23,4,23,5.7,6.559845559845561,0.0,0.5,False,-1.8,13.2,63.5,0.496
113,2018-4-24,4,24,9.9,7.28957528957529,0.0,0.5,False,-1.2,21.0,77.5,0.72
114,2018-4-25,4,25,9.0,7.133204633204633,0.2,0.5038167938931297,False,3.3,14.6,62.5,0.48
115,2018-4-26,4,26,11.1,7.4980694980694995,0.2,0.5038167938931297,False,0.8,21.3,46.5,0.224
116,2018-4-27,4,27,12.8,7.793436293436294,0.0,0.5,False,2.5,23.0,68.0,0.568
117,2018-4-28,4,28,13.8,7.967181467181469,0.0,0.5,False,1.2,26.3,74.0,0.664
118,2018-4-29,4,29,9.9,7.28957528957529,3.8,0.5725190839694656,False,2.1,17.6,59.0,0.424
119,2018-4-30,4,30,7.4,6.855212355212355,1.0,0.5190839694656488,False,1.6,13.2,50.5,0.288
120,2018-5-1,5,1,8.9,7.115830115830116,0.0,0.5,False,4.6,13.2,44.0,0.184
121,2018-5-2,5,2,9.7,7.254826254826256,0.0,0.5,False,-1.0,20.3,44.0,0.184
122,2018-5-3,5,3,12.1,7.671814671814672,0.0,0.5,False,2.0,22.1,44.5,0.192
123,2018-5-4,5,4,14.1,8.019305019305019,0.0,0.5,False,7.0,21.2,52.0,0.312
124,2018-5-5,5,5,12.9,7.810810810810812,0.0,0.5,False,4.9,20.8,51.0,0.296
125,2018-5-6,5,6,14.1,8.019305019305019,0.0,0.5,False,4.1,24.1,42.0,0.152
126,2018-5-7,5,7,16.2,8.384169884169884,0.2,0.5038167938931297,False,8.4,23.9,49.0,0.264
127,2018-5-8,5,8,17.6,8.627413127413128,0.0,0.5,False,12.2,23.0,42.5,0.16
128,2018-5-9,5,9,9.2,7.167953667953667,1.0,0.5190839694656488,False,4.5,13.8,45.5,0.208
129,2018-5-10,5,10,6.2,6.646718146718148,1.8,0.5343511450381679,False,2.3,10.0,66.5,0.544
130,2018-5-12,5,12,12.5,7.741312741312742,0.2,0.5038167938931297,False,2.8,22.1,83.0,0.808
131,2018-5-13,5,13,15.5,8.262548262548263,0.0,0.5,False,7.5,23.4,62.5,0.48
132,2018-5-14,5,14,17.5,8.610038610038611,0.0,0.5,False,7.2,27.8,54.0,0.344
133,2018-5-15,5,15,19.6,8.974903474903476,0.0,0.5,False,10.7,28.5,56.0,0.376
134,2018-5-16,5,16,18.8,8.835907335907336,0.0,0.5,False,12.3,25.3,59.5,0.432
135,2018-5-17,5,17,9.2,7.167953667953667,8.5,0.6622137404580153,False,6.1,12.3,52.5,0.32
136,2018-5-18,5,18,10.6,7.411196911196911,1.8,0.5343511450381679,False,5.7,15.4,55.0,0.36
137,2018-5-19,5,19,10.4,7.376447876447877,0.0,0.5,False,4.1,16.6,76.5,0.704
138,2018-5-20,5,20,13.9,7.9845559845559855,0.0,0.5,False,3.3,24.5,84.0,0.824
139,2018-5-21,5,21,16.0,8.349420849420849,0.0,0.5,False,8.8,23.2,82.5,0.8
140,2018-5-22,5,22,17.5,8.610038610038611,0.0,0.5,False,9.2,25.8,67.0,0.552
141,2018-5-23,5,23,17.5,8.610038610038611,0.0,0.5,False,8.2,26.8,63.5,0.496
142,2018-5-24,5,24,19.1,8.888030888030888,0.4,0.5076335877862596,False,10.9,27.3,77.5,0.72
143,2018-5-25,5,25,17.8,8.662162162162163,0.0,0.5,False,8.0,27.5,62.5,0.48
144,2018-5-26,5,26,16.3,8.401544401544403,0.2,0.5038167938931297,False,9.4,23.1,46.5,0.224
145,2018-5-27,5,27,16.5,8.436293436293438,0.0,0.5,False,8.3,24.6,68.0,0.568
146,2018-5-28,5,28,19.4,8.940154440154439,0.0,0.5,False,9.5,29.3,74.0,0.664
147,2018-5-29,5,29,12.8,7.793436293436294,0.0,0.5,False,8.3,17.3,59.0,0.424
148,2018-5-30,5,30,11.2,7.515444015444015,3.2,0.5610687022900763,False,6.3,16.0,50.5,0.288
149,2018-5-31,5,31,7.0,6.7857142857142865,9.4,0.6793893129770993,False,5.8,8.1,44.0,0.184
150,2018-6-1,6,1,10.7,7.428571428571429,9.6,0.6832061068702291,False,6.0,15.4,44.0,0.184
151,2018-6-2,6,2,12.2,7.6891891891891895,0.2,0.5038167938931297,False,3.3,21.0,44.5,0.192
152,2018-6-3,6,3,14.0,8.001930501930502,0.0,0.5,False,4.6,23.4,52.0,0.312
153,2018-6-4,6,4,16.4,8.41891891891892,0.0,0.5,False,13.2,19.6,51.0,0.296
154,2018-6-5,6,5,11.3,7.532818532818534,0.0,0.5,False,2.8,19.8,42.0,0.152
155,2018-6-6,6,6,13.6,7.9324324324324325,0.0,0.5,False,4.0,23.2,49.0,0.264
156,2018-6-7,6,7,16.9,8.505791505791507,0.0,0.5,False,7.7,26.0,42.5,0.16
157,2018-6-8,6,8,18.6,8.801158301158303,0.0,0.5,False,9.8,27.3,45.5,0.208
158,2018-6-9,6,9,19.4,8.940154440154439,0.5,0.5095419847328244,False,12.5,26.2,66.5,0.544
159,2018-6-10,6,10,9.1,7.150579150579151,10.6,0.7022900763358779,False,5.2,12.9,83.0,0.808
160,2018-6-11,6,11,11.0,7.480694980694981,0.2,0.5038167938931297,False,5.0,17.0,62.5,0.48
161,2018-6-12,6,12,14.1,8.019305019305019,0.0,0.5,False,8.5,19.6,54.0,0.344
162,2018-6-13,6,13,16.4,8.41891891891892,0.0,0.5,False,10.4,22.3,56.0,0.376
163,2018-6-14,6,14,10.2,7.341698841698842,0.0,0.5,False,7.5,12.9,59.5,0.432
164,2018-6-15,6,15,11.0,7.480694980694981,0.5,0.5095419847328244,False,4.9,17.1,52.5,0.32
165,2018-6-16,6,16,12.4,7.723938223938225,5.6,0.6068702290076335,False,8.9,15.8,55.0,0.36
166,2018-6-17,6,17,12.7,7.776061776061777,0.2,0.5038167938931297,False,3.9,21.4,58.75,0.42
167,2018-6-18,6,18,14.2,8.036679536679538,0.0,0.5,False,6.7,21.7,62.5,0.48
168,2018-6-19,6,19,16.2,8.384169884169884,0.0,0.5,False,8.0,24.4,54.0,0.344
169,2018-6-20,6,20,17.7,8.644787644787645,0.0,0.5,False,9.1,26.3,56.0,0.376
170,2018-6-21,6,21,18.3,8.74903474903475,0.0,0.5,False,10.5,26.0,59.5,0.432
171,2018-6-22,6,22,16.9,8.505791505791507,5.4,0.6030534351145038,False,9.6,24.2,52.5,0.32
172,2018-6-23,6,23,16.6,8.453667953667953,26.2,1.0,False,12.5,20.6,55.0,0.36
173,2018-6-24,6,24,17.9,8.679536679536678,0.2,0.5038167938931297,False,10.9,24.9,62.5,0.48
174,2018-6-25,6,25,19.5,8.957528957528957,0.0,0.5,False,11.6,27.4,68.0,0.568
175,2018-6-26,6,26,14.3,8.054054054054056,0.0,0.5,False,8.6,20.0,74.0,0.664
176,2018-6-27,6,27,15.1,8.193050193050194,0.2,0.5038167938931297,False,6.9,23.2,59.0,0.424
177,2018-6-28,6,28,14.3,8.054054054054056,0.0,0.5,False,9.3,19.2,50.5,0.288
178,2018-6-29,6,29,14.2,8.036679536679538,3.4,0.5648854961832062,False,9.3,19.1,44.0,0.184
179,2018-6-30,6,30,13.9,7.9845559845559855,0.2,0.5038167938931297,False,6.2,21.5,44.0,0.184
180,2018-7-1,7,1,14.4,8.071428571428573,0.0,0.5,False,7.6,21.2,44.5,0.192
181,2018-7-2,7,2,10.7,7.428571428571429,0.6,0.5114503816793893,False,5.6,15.7,52.0,0.312
182,2018-7-3,7,3,11.8,7.619691119691121,0.0,0.5,False,8.0,15.6,51.0,0.296
183,2018-7-4,7,4,14.2,8.036679536679538,4.0,0.5763358778625954,False,9.2,19.2,42.0,0.152
184,2018-7-5,7,5,17.0,8.523166023166024,0.0,0.5,False,8.3,25.6,49.0,0.264
185,2018-7-6,7,6,22.5,9.47876447876448,0.2,0.5038167938931297,False,12.1,32.9,42.5,0.16
186,2018-7-7,7,7,17.7,8.644787644787645,0.0,0.5,False,10.7,24.6,45.5,0.208
187,2018-7-8,7,8,15.2,8.21042471042471,0.0,0.5,False,6.2,24.2,66.5,0.544
188,2018-7-9,7,9,18.4,8.766409266409266,0.0,0.5,False,9.0,27.7,83.0,0.808
189,2018-7-10,7,10,15.6,8.279922779922781,7.5,0.6431297709923665,False,9.6,21.6,62.5,0.48
190,2018-7-11,7,11,18.6,8.801158301158303,0.4,0.5076335877862596,False,12.0,25.2,54.0,0.344
191,2018-7-12,7,12,17.9,8.679536679536678,0.0,0.5,False,9.3,26.5,56.0,0.376
192,2018-7-13,7,13,20.7,9.166023166023166,0.0,0.5,False,9.7,31.6,59.5,0.432
193,2018-7-14,7,14,14.4,8.071428571428573,2.4,0.5458015267175572,False,7.7,21.0,52.5,0.32
194,2018-7-15,7,15,16.1,8.366795366795367,0.0,0.5,False,6.3,25.9,55.0,0.36
195,2018-7-16,7,16,19.9,9.027027027027026,0.0,0.5,False,9.5,30.2,43.5,0.176
196,2018-7-17,7,17,21.5,9.305019305019306,0.0,0.5,False,12.1,30.9,45.0,0.2
197,2018-7-18,7,18,19.0,8.87065637065637,1.6,0.5305343511450382,False,13.6,24.4,65.5,0.528
198,2018-7-19,7,19,18.8,8.835907335907336,0.4,0.5076335877862596,False,11.7,26.0,61.0,0.456
199,2018-7-20,7,20,19.7,8.992277992277993,0.0,0.5,False,9.8,29.6,52.0,0.312
200,2018-7-21,7,21,15.7,8.297297297297298,0.0,0.5,False,7.3,24.0,51.0,0.296
201,2018-7-22,7,22,16.1,8.366795366795367,0.0,0.5,False,9.7,22.6,50.5,0.288
202,2018-7-23,7,23,15.8,8.314671814671815,1.6,0.5305343511450382,False,9.0,22.7,64.5,0.512
203,2018-7-24,7,24,13.3,7.88030888030888,6.4,0.6221374045801527,False,11.3,15.3,82.0,0.792
204,2018-7-25,7,25,15.0,8.175675675675675,0.2,0.5038167938931297,False,8.2,21.8,68.5,0.576
205,2018-7-26,7,26,17.1,8.54054054054054,2.2,0.5419847328244275,False,10.0,24.3,60.5,0.448
206,2018-7-27,7,27,15.7,8.297297297297298,0.2,0.5038167938931297,False,8.9,22.4,62.5,0.48
207,2018-7-28,7,28,16.4,8.41891891891892,0.0,0.5,False,7.4,25.4,58.0,0.408
208,2018-7-29,7,29,18.9,8.853281853281853,0.0,0.5,False,9.3,28.5,46.5,0.224
209,2018-7-30,7,30,21.3,9.27027027027027,0.0,0.5,False,10.4,32.1,47.5,0.24
210,2018-7-31,7,31,18.4,8.766409266409266,0.0,0.5,False,10.9,26.0,68.5,0.576
211,2018-8-1,8,1,21.1,9.235521235521237,11.2,0.7137404580152672,False,13.2,29.1,59.0,0.424
212,2018-8-2,8,2,17.5,8.610038610038611,3.0,0.5572519083969466,False,12.4,22.5,65.5,0.528
213,2018-8-3,8,3,17.7,8.644787644787645,3.3,0.5629770992366412,False,10.7,24.7,56.0,0.376
214,2018-8-4,8,4,15.3,8.227799227799228,1.6,0.5305343511450382,False,13.1,17.4,70.5,0.608
215,2018-8-5,8,5,17.0,8.523166023166024,0.4,0.5076335877862596,False,10.5,23.5,61.0,0.456
216,2018-8-6,8,6,19.5,8.957528957528957,0.2,0.5038167938931297,False,9.9,29.0,52.5,0.32
217,2018-8-7,8,7,22.3,9.444015444015445,0.0,0.5,False,15.7,28.9,37.0,0.072
218,2018-8-8,8,8,19.6,8.974903474903476,0.0,0.5,False,9.6,29.7,48.0,0.248
219,2018-8-9,8,9,23.0,9.565637065637066,0.5,0.5095419847328244,False,12.0,34.1,42.5,0.16
220,2018-8-10,8,10,25.5,10.0,0.0,0.5,False,14.4,36.7,37.5,0.08
221,2018-8-11,8,11,18.7,8.81853281853282,0.0,0.5,False,13.7,23.7,56.0,0.376
222,2018-8-12,8,12,13.7,7.94980694980695,6.7,0.6278625954198473,False,8.2,19.3,72.5,0.64
223,2018-8-13,8,13,14.4,8.071428571428573,0.2,0.5038167938931297,False,8.0,20.8,58.0,0.408
224,2018-8-14,8,14,18.7,8.81853281853282,0.2,0.5038167938931297,False,8.0,29.5,49.0,0.264
225,2018-8-15,8,15,18.7,8.81853281853282,0.0,0.5,False,12.2,25.2,49.0,0.264
226,2018-8-16,8,16,18.4,8.766409266409266,0.0,0.5,False,8.4,28.4,57.0,0.392
227,2018-8-17,8,17,19.0,8.87065637065637,0.0,0.5,False,9.5,28.5,50.0,0.28
228,2018-8-18,8,18,13.4,7.897683397683398,0.0,0.5,False,7.6,19.2,54.0,0.344
229,2018-8-19,8,19,11.5,7.567567567567568,0.0,0.5,False,3.7,19.3,58.5,0.416
230,2018-8-20,8,20,14.8,8.14092664092664,0.4,0.5076335877862596,False,10.2,19.4,59.0,0.424
231,2018-8-21,8,21,15.6,8.279922779922781,0.0,0.5,False,4.9,26.2,49.5,0.272
232,2018-8-22,8,22,19.9,9.027027027027026,0.2,0.5038167938931297,False,8.0,31.8,39.5,0.112
233,2018-8-23,8,23,18.7,8.81853281853282,0.0,0.5,False,9.4,27.9,47.0,0.232
234,2018-8-24,8,24,11.5,7.567567567567568,5.3,0.601145038167939,False,7.0,16.0,83.5,0.816
235,2018-8-25,8,25,12.2,7.6891891891891895,0.4,0.5076335877862596,False,4.7,19.7,61.5,0.464
236,2018-8-26,8,26,13.7,7.94980694980695,4.8,0.5916030534351145,False,7.4,20.1,59.5,0.432
237,2018-8-27,8,27,9.3,7.185328185328186,0.9,0.517175572519084,False,5.1,13.6,67.0,0.552
238,2018-8-28,8,28,12.4,7.723938223938225,0.2,0.5038167938931297,False,3.2,21.5,57.5,0.4
239,2018-8-29,8,29,15.5,8.262548262548263,0.0,0.5,False,10.0,21.1,60.0,0.44
240,2018-8-30,8,30,14.2,8.036679536679538,0.2,0.5038167938931297,False,7.5,20.8,57.0,0.392
241,2018-8-31,8,31,12.899999999999999,7.810810810810812,0.6000000000000001,0.5114503816793893,False,7.0,18.700000000000003,58.5,0.41600000000000004
242,2018-9-1,9,1,11.6,7.584942084942086,1.0,0.5190839694656488,False,6.5,16.6,60.0,0.44
243,2018-9-2,9,2,12.5,7.741312741312742,0.3,0.5057251908396947,False,4.1,20.9,53.5,0.336
244,2018-9-3,9,3,10.8,7.445945945945946,1.3,0.5248091603053435,False,6.6,15.0,64.0,0.504
245,2018-9-4,9,4,9.7,7.254826254826256,0.0,0.5,False,5.0,14.5,64.0,0.504
246,2018-9-5,9,5,10.8,7.445945945945946,0.0,0.5,False,0.7,20.9,57.0,0.392
247,2018-9-6,9,6,14.0,8.001930501930502,0.0,0.5,False,2.7,25.2,53.0,0.328
248,2018-9-7,9,7,16.8,8.488416988416988,0.2,0.5038167938931297,False,5.7,27.9,49.0,0.264
249,2018-9-8,9,8,14.9,8.158301158301159,0.0,0.5,False,7.3,22.5,50.0,0.28
